ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MaritalStatus,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,PaymentHistory,SavingsAccountBalance,MonthlyIncome,NetWorth,InterestRate,LoanApproved,RiskScore
01-01-2018,45,39948,617,Employed,Master,13152,48,Married,Own,183,0.3583356,Home,29,7632,3329,126928,0.22758963,0,49
02-01-2018,38,39709,628,Employed,Associate,26045,48,Single,Mortgage,496,0.33027367,Debt Consolidation,21,4627,3309.083333,43609,0.201077121,0,52
03-01-2018,47,40724,570,Employed,Bachelor,17627,36,Married,Rent,902,0.244729109,Education,20,886,3393.666667,5205,0.21254801,0,52
04-01-2018,58,69084,545,Employed,High School,37898,96,Single,Mortgage,755,0.436244265,Home,27,1675,5757,99452,0.300910849,0,54
05-01-2018,37,103264,594,Employed,Associate,9184,36,Married,Mortgage,274,0.078884212,Debt Consolidation,26,1555,8605.333333,227019,0.175990179,1,36
06-01-2018,37,,626,Self-Employed,Master,15433,,Married,Rent,732,0.259366401,Debt Consolidation,16,2118,14859.16667,27071,0.217601155,1,44
07-01-2018,58,51250,564,Employed,High School,12741,48,Married,Rent,337,0.127472703,Other,21,5161,4270.833333,21730,0.205270968,0,50
08-01-2018,49,97345,516,Employed,High School,19634,12,Divorced,Mortgage,288,0.395567635,Other,19,781,8112.083333,38621,0.209112942,1,42.4
0218-01-09,34,116841,603,Employde,,55353,60,Divorced,Own,638,0.31323326,Debt Consolidation,25,1157,9736.75,7711,0.291539425,0,61
10-01-2018,46,40615,612,Employed,Associate,25443,12,Married,Other,704,0.505148027,Other,23,1028,3384.583333,116812,0.197270602,0,53
11-01-2018,34,,478,Employed,Associate,48716,,Single,Own,267,0.08144473,Auto,25,9266,6137.166667,128651,0.333538882,0,47
12-01-2018,34,15000,591,Employed,Bachelor,30088,24,Married,Mortgage,295,0.346685661,Home,21,259,1250,29709,0.182401198,0,56
